"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.gitattributes",".gitattributes",".gitattributes",".gitattributes","158","0.0002","2026-06-24T22:26:01","2026-06-24T22:06:11","OTHER"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.gitignore",".gitignore",".gitignore",".gitignore","370","0.0004","2026-06-24T22:26:01","2026-06-24T23:38:06","OTHER"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\apply_ocr_rule_v2.ps1","apply_ocr_rule_v2.ps1","apply_ocr_rule_v2.ps1",".ps1","3229","0.0031","2026-06-29T13:44:45","2026-06-29T11:39:53","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\apply_phase2.ps1","apply_phase2.ps1","apply_phase2.ps1",".ps1","3045","0.0029","2026-06-25T00:00:13","2026-06-24T23:44:21","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\baseline_comparison_report.json","baseline_comparison_report.json","baseline_comparison_report.json",".json","3936","0.0038","2026-06-29T13:44:45","2026-06-29T11:39:10","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\bpjph_expiry_flow.txt","bpjph_expiry_flow.txt","bpjph_expiry_flow.txt",".txt","22392","0.0214","2026-07-01T18:04:18","2026-07-01T18:04:18","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\CHANGELOG.md","CHANGELOG.md","CHANGELOG.md",".md","708","0.0007","2026-06-24T22:26:01","2026-06-24T22:06:11","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\conda_list.txt","conda_list.txt","conda_list.txt",".txt","9765","0.0093","2026-06-02T11:27:24","2026-06-02T11:27:25","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\current_conda_packages.txt","current_conda_packages.txt","current_conda_packages.txt",".txt","3032","0.0029","2026-07-24T16:54:31","2026-07-24T16:54:32","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\environment_from_history.yml","environment_from_history.yml","environment_from_history.yml",".yml","253","0.0002","2026-06-02T11:27:22","2026-06-02T11:27:24","SOURCE_OR_CONFIG"
