"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.tmp_confirm_integration_test\pmf_app_test.db",".tmp_confirm_integration_test\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-06-30T17:40:48","2026-06-30T17:40:53","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\db\cert_template_features.db","db\cert_template_features.db","cert_template_features.db",".db","827392","0.7891","2026-05-26T16:33:14","2026-07-01T23:20:34","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\db\halal_lhln.db","db\halal_lhln.db","halal_lhln.db",".db","73728","0.0703","2026-05-09T02:40:04","2026-06-30T09:12:22","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\db\ocr_test.db","db\ocr_test.db","ocr_test.db",".db","299008","0.2852","2026-05-18T17:18:47","2026-06-30T13:52:41","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\db\pmf_app.db","db\pmf_app.db","pmf_app.db",".db","6574080","6.2695","2026-05-09T00:28:42","2026-07-01T23:22:55","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\filing_index_hg_v19pf\pmf_app_test.db","integration_tests\filing_index_hg_v19pf\pmf_app_test.db","pmf_app_test.db",".db","36864","0.0352","2026-07-01T10:46:23","2026-07-01T10:46:24","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\job521_73jiyrsv\pmf_app_test.db","integration_tests\job521_73jiyrsv\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-06-30T17:48:59","2026-06-30T17:49:05","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\job521_9u3piffh\pmf_app_test.db","integration_tests\job521_9u3piffh\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-07-01T09:29:55","2026-07-01T09:30:02","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\job521_oklexr4r\pmf_app_test.db","integration_tests\job521_oklexr4r\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-06-30T17:51:55","2026-06-30T17:52:01","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\job521_replace_wbd847bt\pmf_app_test.db","integration_tests\job521_replace_wbd847bt\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-07-01T09:45:40","2026-07-01T09:45:53","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\job521_replace_zg2phxsi\pmf_app_test.db","integration_tests\job521_replace_zg2phxsi\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-07-01T10:11:53","2026-07-01T10:11:59","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\integration_tests\job521_secondary_wbt59e16\pmf_app_test.db","integration_tests\job521_secondary_wbt59e16\pmf_app_test.db","pmf_app_test.db",".db","32768","0.0312","2026-07-01T09:37:30","2026-07-01T09:37:30","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\cert_template_features.db","_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\cert_template_features.db","cert_template_features.db",".db","811008","0.7734","2026-06-29T17:01:45","2026-06-25T00:49:33","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\halal_lhln.db","_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\halal_lhln.db","halal_lhln.db",".db","69632","0.0664","2026-06-29T17:01:45","2026-05-13T12:21:34","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\ocr_test.db","_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\ocr_test.db","ocr_test.db",".db","274432","0.2617","2026-06-29T17:01:45","2026-06-03T08:35:05","DATABASE"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\pmf_app.db","_onedrive_backup_archive\db.__onedrive_backup_20260629_144030\pmf_app.db","pmf_app.db",".db","4993024","4.7617","2026-06-29T17:01:45","2026-06-25T00:49:28","DATABASE"
