"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_backend.ps1.bak_20260731_135415",".runtime\run_backend.ps1.bak_20260731_135415","run_backend.ps1.bak_20260731_135415",".bak_20260731_135415","851","0.0008","2026-07-31T13:54:15","2026-07-31T13:51:58","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_backend.ps1.bak_20260731_135833",".runtime\run_backend.ps1.bak_20260731_135833","run_backend.ps1.bak_20260731_135833",".bak_20260731_135833","912","0.0009","2026-07-31T13:58:33","2026-07-31T13:54:15","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_backend.ps1.bak_20260731_135847",".runtime\run_backend.ps1.bak_20260731_135847","run_backend.ps1.bak_20260731_135847",".bak_20260731_135847","912","0.0009","2026-07-31T13:58:47","2026-07-31T13:54:15","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_backend.ps1.bak_20260731_140008",".runtime\run_backend.ps1.bak_20260731_140008","run_backend.ps1.bak_20260731_140008",".bak_20260731_140008","912","0.0009","2026-07-31T14:00:08","2026-07-31T13:54:15","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_backend.ps1.bak_20260731_140046",".runtime\run_backend.ps1.bak_20260731_140046","run_backend.ps1.bak_20260731_140046",".bak_20260731_140046","2061","0.002","2026-07-31T14:00:46","2026-07-31T14:00:08","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_backend.ps1.bak_20260731_140251",".runtime\run_backend.ps1.bak_20260731_140251","run_backend.ps1.bak_20260731_140251",".bak_20260731_140251","2065","0.002","2026-07-31T14:02:51","2026-07-31T14:00:46","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\.runtime\run_frontend.ps1.bak_20260731_135415",".runtime\run_frontend.ps1.bak_20260731_135415","run_frontend.ps1.bak_20260731_135415",".bak_20260731_135415","1081","0.001","2026-07-31T13:54:15","2026-07-31T13:51:59","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\backend\app\routers\certificate_filing.py.backup_20260701_181712","backend\app\routers\certificate_filing.py.backup_20260701_181712","certificate_filing.py.backup_20260701_181712",".backup_20260701_181712","3496","0.0033","2026-07-01T18:17:12","2026-07-01T11:24:56","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\backend\app\routers\certificate_filing_backup_20260630_170903_415657.py","backend\app\routers\certificate_filing_backup_20260630_170903_415657.py","certificate_filing_backup_20260630_170903_415657.py",".py","3121","0.003","2026-06-30T17:09:03","2026-06-24T14:42:42","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\backend\app\routers\certificate_filing_backup_20260701_112456_081677.py","backend\app\routers\certificate_filing_backup_20260701_112456_081677.py","certificate_filing_backup_20260701_112456_081677.py",".py","3522","0.0034","2026-07-01T11:24:56","2026-06-30T17:09:03","SOURCE_OR_CONFIG"
