"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\current_field_model.txt","certificate_classifier\models\current_field_model.txt","current_field_model.txt",".txt","83","0.0001","2026-07-28T14:24:22","2026-07-28T14:24:22","SOURCE_OR_CONFIG"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\current_field_span_model.txt","certificate_classifier\models\current_field_span_model.txt","current_field_span_model.txt",".txt","88","0.0001","2026-07-28T14:44:18","2026-07-28T14:44:18","SOURCE_OR_CONFIG"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\current_model.txt","certificate_classifier\models\current_model.txt","current_model.txt",".txt","90","0.0001","2026-07-27T11:18:19","2026-07-27T11:41:44","SOURCE_OR_CONFIG"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\certificate_institution_20260727_111806\certificate_institution_model.joblib","certificate_classifier\models\certificate_institution_20260727_111806\certificate_institution_model.joblib","certificate_institution_model.joblib",".joblib","5968432","5.6919","2026-07-27T11:18:18","2026-07-27T11:18:19","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\certificate_institution_20260727_111806\model_metadata.json","certificate_classifier\models\certificate_institution_20260727_111806\model_metadata.json","model_metadata.json",".json","2667","0.0025","2026-07-27T11:18:19","2026-07-27T11:18:19","SOURCE_OR_CONFIG"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\certificate_institution_20260727_114129\certificate_institution_model.joblib","certificate_classifier\models\certificate_institution_20260727_114129\certificate_institution_model.joblib","certificate_institution_model.joblib",".joblib","4540790","4.3304","2026-07-27T11:41:43","2026-07-27T11:41:44","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\certificate_institution_20260727_114129\model_metadata.json","certificate_classifier\models\certificate_institution_20260727_114129\model_metadata.json","model_metadata.json",".json","2647","0.0025","2026-07-27T11:41:44","2026-07-27T11:41:44","SOURCE_OR_CONFIG"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_extraction_20260728_142319\cert_no_ranker.joblib","certificate_classifier\models\field_extraction_20260728_142319\cert_no_ranker.joblib","cert_no_ranker.joblib",".joblib","752189","0.7173","2026-07-28T14:23:32","2026-07-28T14:23:33","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_extraction_20260728_142319\expiry_date_ranker.joblib","certificate_classifier\models\field_extraction_20260728_142319\expiry_date_ranker.joblib","expiry_date_ranker.joblib",".joblib","169903","0.162","2026-07-28T14:23:55","2026-07-28T14:23:55","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_extraction_20260728_142319\manufacturer_ranker.joblib","certificate_classifier\models\field_extraction_20260728_142319\manufacturer_ranker.joblib","manufacturer_ranker.joblib",".joblib","856177","0.8165","2026-07-28T14:23:52","2026-07-28T14:23:53","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_extraction_20260728_142319\manufacturing_country_ranker.joblib","certificate_classifier\models\field_extraction_20260728_142319\manufacturing_country_ranker.joblib","manufacturing_country_ranker.joblib",".joblib","929512","0.8865","2026-07-28T14:24:20","2026-07-28T14:24:20","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_extraction_20260728_142319\model_metadata.json","certificate_classifier\models\field_extraction_20260728_142319\model_metadata.json","model_metadata.json",".json","4911","0.0047","2026-07-28T14:24:22","2026-07-28T14:24:22","SOURCE_OR_CONFIG"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_span_extraction_20260728_144234\cert_no_span_ranker.joblib","certificate_classifier\models\field_span_extraction_20260728_144234\cert_no_span_ranker.joblib","cert_no_span_ranker.joblib",".joblib","934951","0.8916","2026-07-28T14:43:05","2026-07-28T14:43:06","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_span_extraction_20260728_144234\expiry_date_span_ranker.joblib","certificate_classifier\models\field_span_extraction_20260728_144234\expiry_date_span_ranker.joblib","expiry_date_span_ranker.joblib",".joblib","339467","0.3237","2026-07-28T14:44:17","2026-07-28T14:44:17","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_span_extraction_20260728_144234\manufacturer_span_ranker.joblib","certificate_classifier\models\field_span_extraction_20260728_144234\manufacturer_span_ranker.joblib","manufacturer_span_ranker.joblib",".joblib","843541","0.8045","2026-07-28T14:44:03","2026-07-28T14:44:04","MODEL"
"RUNTIME","D:\halal_web_runtime","D:\halal_web_runtime\certificate_classifier\models\field_span_extraction_20260728_144234\model_metadata.json","certificate_classifier\models\field_span_extraction_20260728_144234\model_metadata.json","model_metadata.json",".json","3160","0.003","2026-07-28T14:44:18","2026-07-28T14:44:18","SOURCE_OR_CONFIG"
